380,My Big Fat Greek Wedding,2002,$368744044
381,Hello Mr. Billionaire,2018,$366961907
382,Die Hard with a Vengeance,1995,$366101666
383,Shazam!,2019,$366080049
384,The Nun,2018,$365582797
385,Alvin and the Chipmunks,2007,$365352546
386,Tenet,2020,$365294355
387,Notting Hill,1999,$363889678
388,A Bug's Life,1998,$363258859
389,Night at the Museum: Secret of the Tomb,2014,$363204635
390,Ocean's Twelve,2004,$362744280
391,Planet of the Apes,2001,$362211740
392,The Hangover Part III,2013,$362000072
393,The World Is Not Enough,1999,$361832400
394,Monster Hunt 2,2018,$361682618
395,Fast & Furious,2009,$360366870
396,Noah,2014,$359200044
397,The Karate Kid,2010,$359126022
398,Home Alone 2: Lost in New York,1992,$358994850
399,Hotel Transylvania,2012,$358375603
400,Minority Report,2002,$358372926
401,Your Name.,2016,$358180115
402,Top Gun,1986,$357288178
403,The Legend of Tarzan,2016,$356700357
404,American Beauty,1999,$356296601
405,Spirited Away,2001,$355725195
406,Apollo 13,1995,$355237933
407,Rain Man,1988,$354825435
408,The Great Gatsby,2013,$353659851
409,Dumbo,2019,$353284621
410,I, Robot,2004,$353133898
411,Basic Instinct,1992,$352927224
412,Murder on the Orient Express,2017,$352794081
413,X-Men: First Class,2011,$352616690
414,The Angry Birds Movie,2016,$352333929
415,GoldenEye,1995,$352194034
416,Catch Me If You Can,2002,$352114312
417,Now You See Me,2013,$351723989
418,Hannibal,2001,$351692268
419,The Mask,1994,$351583407
420,Peter Rabbit,2018,$351496066
421,Speed,1994,$350448145
422,Dinosaur,2000,$349822765
423,Mary Poppins Returns,2018,$349546142
424,Deep Impact,1998,$349464664
425,The Lorax,2012,$349183316
426,The Maze Runner,2014,$348319861
427,The Smurfs 2,2013,$347545360
428,National Treasure,2004,$347512318
429,Rush Hour 2,2001,$347325802
430,Trolls,2016,$347182886
431,xXx: Return of Xander Cage,2017,$346118277
432,Pocahontas,1995,$346079773
433,How the Grinch Stole Christmas,2000,$345823032
434,Star Trek Beyond,2016,$343471816
435,Alvin and the Chipmunks: Chipwrecked,2011,$342695435
436,Wanted,2008,$342463063
437,The Flintstones,1994,$341631208
438,A Quiet Place,2018,$340952971
439,Enchanted,2007,$340487836
